Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
07/12/2022;23;46;R
07/12/2022;24;45;R
08/12/2022;1;47;R
08/12/2022;2;48;R
08/12/2022;3;47;R
08/12/2022;4;47;R
08/12/2022;5;46;R
08/12/2022;6;46;R
08/12/2022;7;47;R
08/12/2022;8;44;R
08/12/2022;9;46;R
08/12/2022;10;47;R
08/12/2022;11;47;R
08/12/2022;12;48;R
08/12/2022;13;47;R
08/12/2022;14;47;R
08/12/2022;15;47;R
08/12/2022;16;48;R
08/12/2022;17;46;R
08/12/2022;18;44;R
08/12/2022;19;46;R
08/12/2022;20;48;R
08/12/2022;21;49;R
08/12/2022;22;47;R
08/12/2022;23;47;R
08/12/2022;24;96;R
09/12/2022;1;63;R
09/12/2022;2;52;R
09/12/2022;3;47;R
09/12/2022;4;47;R
09/12/2022;5;48;R
09/12/2022;6;46;R
09/12/2022;7;44;R
09/12/2022;8;47;R
09/12/2022;9;48;R
09/12/2022;10;48;R
09/12/2022;11;47;R
09/12/2022;12;47;R
09/12/2022;13;47;R
09/12/2022;14;48;R
09/12/2022;15;48;R
09/12/2022;16;45;R
09/12/2022;17;44;R
09/12/2022;18;47;R
09/12/2022;19;47;R
09/12/2022;20;49;R
09/12/2022;21;48;R
09/12/2022;22;48;R
09/12/2022;23;47;R
09/12/2022;24;46;R
10/12/2022;1;47;R
10/12/2022;2;45;R
10/12/2022;3;45;R
10/12/2022;4;47;R
10/12/2022;5;46;R
10/12/2022;6;47;R
10/12/2022;7;46;R
10/12/2022;8;47;R
10/12/2022;9;47;R
10/12/2022;10;46;R
10/12/2022;11;45;R
10/12/2022;12;44;R
10/12/2022;13;48;R
10/12/2022;14;47;R
10/12/2022;15;48;R
10/12/2022;16;47;R
10/12/2022;17;47;R
10/12/2022;18;47;R
10/12/2022;19;49;R
10/12/2022;20;158;R
10/12/2022;21;127;R
10/12/2022;22;51;R
10/12/2022;23;78;R
10/12/2022;24;127;R
11/12/2022;1;129;R
11/12/2022;2;90;R
11/12/2022;3;56;R
11/12/2022;4;49;R
11/12/2022;5;49;R
11/12/2022;6;47;R
11/12/2022;7;46;R
11/12/2022;8;48;R
11/12/2022;9;49;R
11/12/2022;10;196;R
11/12/2022;11;242;R
11/12/2022;12;70;R
11/12/2022;13;48;R
11/12/2022;14;48;R
11/12/2022;15;48;R
11/12/2022;16;46;R
11/12/2022;17;45;R
11/12/2022;18;48;R
11/12/2022;19;49;R
11/12/2022;20;48;R
11/12/2022;21;148;R
11/12/2022;22;285;R
11/12/2022;23;149;R
11/12/2022;24;125;R
12/12/2022;1;62;R
12/12/2022;2;48;R
12/12/2022;3;48;R
12/12/2022;4;48;R
12/12/2022;5;44;R
12/12/2022;6;46;R
12/12/2022;7;46;R
12/12/2022;8;186;R
12/12/2022;9;171;R
12/12/2022;10;107;R
12/12/2022;11;57;R
12/12/2022;12;48;R
12/12/2022;13;48;R
12/12/2022;14;45;R
12/12/2022;15;368;R
12/12/2022;16;115;R
12/12/2022;17;64;R
12/12/2022;18;100;R
12/12/2022;19;147;R
12/12/2022;20;200;R
12/12/2022;21;57;R
12/12/2022;22;426;R
12/12/2022;23;343;R
12/12/2022;24;105;R
13/12/2022;1;57;R
13/12/2022;2;52;R
13/12/2022;3;52;R
13/12/2022;4;53;R
13/12/2022;5;52;R
13/12/2022;6;52;R
13/12/2022;7;51;R
13/12/2022;8;53;R
13/12/2022;9;165;R
13/12/2022;10;84;R
13/12/2022;11;48;R
13/12/2022;12;48;R
13/12/2022;13;47;R
13/12/2022;14;48;R
13/12/2022;15;48;R
13/12/2022;16;50;R
13/12/2022;17;58;R
13/12/2022;18;159;R
13/12/2022;19;142;R
13/12/2022;20;99;R
13/12/2022;21;54;R
13/12/2022;22;344;R
13/12/2022;23;189;R
13/12/2022;24;71;R
14/12/2022;1;55;R
14/12/2022;2;48;R
14/12/2022;3;48;R
14/12/2022;4;49;R
14/12/2022;5;48;R
14/12/2022;6;48;R
14/12/2022;7;115;R
14/12/2022;8;52;R
14/12/2022;9;51;R
14/12/2022;10;153;R
14/12/2022;11;87;R
14/12/2022;12;68;R
14/12/2022;13;49;R
14/12/2022;14;557;R
14/12/2022;15;147;R
14/12/2022;16;149;R
14/12/2022;17;130;R
14/12/2022;18;895;R
14/12/2022;19;447;R
14/12/2022;20;893;R
14/12/2022;21;256;R
14/12/2022;22;409;R
14/12/2022;23;232;R
14/12/2022;24;217;R
15/12/2022;1;294;R
15/12/2022;2;63;R
15/12/2022;3;53;R
15/12/2022;4;47;R
15/12/2022;5;49;R
15/12/2022;6;45;R
15/12/2022;7;47;R
15/12/2022;8;49;R
15/12/2022;9;48;R
15/12/2022;10;236;R
15/12/2022;11;112;R
15/12/2022;12;48;R
15/12/2022;13;48;R
15/12/2022;14;46;R
15/12/2022;15;344;R
15/12/2022;16;304;R
15/12/2022;17;139;R
15/12/2022;18;107;R
15/12/2022;19;153;R
15/12/2022;20;122;R
15/12/2022;21;85;R
15/12/2022;22;541;R
15/12/2022;23;134;R
15/12/2022;24;106;R
16/12/2022;1;57;R
16/12/2022;2;50;R
16/12/2022;3;50;R
16/12/2022;4;51;R
16/12/2022;5;53;R
16/12/2022;6;47;R
16/12/2022;7;46;R
16/12/2022;8;50;R
16/12/2022;9;264;R
16/12/2022;10;174;R
16/12/2022;11;131;R
16/12/2022;12;66;R
16/12/2022;13;48;R
16/12/2022;14;51;R
16/12/2022;15;50;R
16/12/2022;16;57;R
16/12/2022;17;78;R
16/12/2022;18;147;R
16/12/2022;19;153;R
16/12/2022;20;162;R
16/12/2022;21;110;R
16/12/2022;22;195;R
16/12/2022;23;145;R
16/12/2022;24;129;R
17/12/2022;1;538;R
17/12/2022;2;85;R
17/12/2022;3;252;R
17/12/2022;4;53;R
17/12/2022;5;51;R
17/12/2022;6;48;R
17/12/2022;7;49;R
17/12/2022;8;51;R
17/12/2022;9;51;R
17/12/2022;10;121;R
17/12/2022;11;184;R
17/12/2022;12;159;R
17/12/2022;13;77;R
17/12/2022;14;108;R
17/12/2022;15;99;R
17/12/2022;16;508;R
17/12/2022;17;76;R
17/12/2022;18;339;R
17/12/2022;19;1258;R
17/12/2022;20;650;R
17/12/2022;21;262;R
17/12/2022;22;256;R
17/12/2022;23;370;R
17/12/2022;24;281;R
18/12/2022;1;184;R
18/12/2022;2;85;R
18/12/2022;3;68;R
18/12/2022;4;56;R
18/12/2022;5;54;R
18/12/2022;6;55;R
18/12/2022;7;51;R
18/12/2022;8;51;R
18/12/2022;9;51;R
18/12/2022;10;51;R
18/12/2022;11;169;R
18/12/2022;12;78;R
18/12/2022;13;62;R
18/12/2022;14;70;R
18/12/2022;15;57;R
18/12/2022;16;107;R
18/12/2022;17;51;R
18/12/2022;18;106;R
18/12/2022;19;147;R
18/12/2022;20;155;R
18/12/2022;21;134;R
18/12/2022;22;210;R
18/12/2022;23;192;R
18/12/2022;24;128;R
19/12/2022;1;61;R
19/12/2022;2;52;R
19/12/2022;3;51;R
19/12/2022;4;50;R
19/12/2022;5;47;R
19/12/2022;6;46;R
19/12/2022;7;48;R
19/12/2022;8;50;R
19/12/2022;9;237;R
19/12/2022;10;126;R
19/12/2022;11;62;R
19/12/2022;12;47;R
19/12/2022;13;46;R
19/12/2022;14;44;R
19/12/2022;15;48;R
19/12/2022;16;284;R
19/12/2022;17;76;R
19/12/2022;18;146;R
19/12/2022;19;131;R
19/12/2022;20;174;R
19/12/2022;21;229;R
19/12/2022;22;185;R
19/12/2022;23;148;R
19/12/2022;24;110;R
20/12/2022;1;58;R
20/12/2022;2;51;R
20/12/2022;3;51;R
20/12/2022;4;51;R
20/12/2022;5;54;R
20/12/2022;6;50;R
20/12/2022;7;48;R
20/12/2022;8;56;R
20/12/2022;9;178;R
20/12/2022;10;531;R
20/12/2022;11;78;R
20/12/2022;12;291;R
20/12/2022;13;69;R
20/12/2022;14;52;R
20/12/2022;15;49;R
20/12/2022;16;50;R
20/12/2022;17;49;R
20/12/2022;18;48;R
20/12/2022;19;47;R
20/12/2022;20;49;R
20/12/2022;21;50;R
20/12/2022;22;49;R
20/12/2022;23;47;R
20/12/2022;24;48;R
21/12/2022;1;47;R
21/12/2022;2;47;R
21/12/2022;3;45;R
21/12/2022;4;45;R
21/12/2022;5;47;R
21/12/2022;6;47;R
21/12/2022;7;48;R
21/12/2022;8;48;R
21/12/2022;9;47;R
21/12/2022;10;48;R
21/12/2022;11;47;R
21/12/2022;12;46;R
21/12/2022;13;46;R
21/12/2022;14;47;R
21/12/2022;15;49;R
21/12/2022;16;48;R
21/12/2022;17;48;R
21/12/2022;18;47;R
21/12/2022;19;48;R
21/12/2022;20;50;R
21/12/2022;21;48;R
21/12/2022;22;46;R
21/12/2022;23;44;R
21/12/2022;24;46;R
22/12/2022;1;48;R
22/12/2022;2;48;R
22/12/2022;3;47;R
22/12/2022;4;46;R
22/12/2022;5;47;R
22/12/2022;6;46;R
22/12/2022;7;46;R
22/12/2022;8;45;R
22/12/2022;9;45;R
22/12/2022;10;48;R
22/12/2022;11;47;R
22/12/2022;12;47;R
22/12/2022;13;47;R
22/12/2022;14;47;R
22/12/2022;15;54;R
22/12/2022;16;75;R
22/12/2022;17;62;R
22/12/2022;18;166;R
22/12/2022;19;190;R
22/12/2022;20;162;R
22/12/2022;21;132;R
22/12/2022;22;556;R
22/12/2022;23;332;R
22/12/2022;24;127;R
23/12/2022;1;68;R
23/12/2022;2;52;R
23/12/2022;3;50;R
23/12/2022;4;49;R
23/12/2022;5;53;R
23/12/2022;6;51;R
23/12/2022;7;49;R
23/12/2022;8;48;R
23/12/2022;9;215;R
23/12/2022;10;175;R
23/12/2022;11;121;R
23/12/2022;12;853;R
23/12/2022;13;256;R
23/12/2022;14;48;R
23/12/2022;15;45;R
23/12/2022;16;47;R
23/12/2022;17;228;R
23/12/2022;18;89;R
23/12/2022;19;156;R
23/12/2022;20;185;R
23/12/2022;21;130;R
23/12/2022;22;419;R
23/12/2022;23;450;R
23/12/2022;24;265;R
24/12/2022;1;61;R
24/12/2022;2;50;R
24/12/2022;3;49;R
24/12/2022;4;47;R
24/12/2022;5;51;R
24/12/2022;6;51;R
24/12/2022;7;44;R
24/12/2022;8;45;R
24/12/2022;9;290;R
24/12/2022;10;558;R
24/12/2022;11;553;R
24/12/2022;12;381;R
24/12/2022;13;139;R
24/12/2022;14;72;R
24/12/2022;15;89;R
24/12/2022;16;498;R
24/12/2022;17;110;R
24/12/2022;18;174;R
24/12/2022;19;2200;R
24/12/2022;20;474;R
24/12/2022;21;396;R
24/12/2022;22;893;R
24/12/2022;23;884;R
24/12/2022;24;151;R
25/12/2022;1;98;R
25/12/2022;2;61;R
25/12/2022;3;55;R
25/12/2022;4;57;R
25/12/2022;5;52;R
25/12/2022;6;58;R
25/12/2022;7;51;R
25/12/2022;8;51;R
25/12/2022;9;74;R
25/12/2022;10;128;R
25/12/2022;11;97;R
25/12/2022;12;676;R
25/12/2022;13;322;R
25/12/2022;14;323;R
25/12/2022;15;313;R
25/12/2022;16;393;R
25/12/2022;17;718;R
25/12/2022;18;122;R
25/12/2022;19;270;R
25/12/2022;20;136;R
25/12/2022;21;234;R
25/12/2022;22;579;R
25/12/2022;23;122;R
25/12/2022;24;47;R
26/12/2022;1;50;R
26/12/2022;2;99;R
26/12/2022;3;63;R
26/12/2022;4;49;R
26/12/2022;5;43;R
26/12/2022;6;43;R
26/12/2022;7;43;R
26/12/2022;8;42;R
26/12/2022;9;41;R
26/12/2022;10;39;R
26/12/2022;11;42;R
26/12/2022;12;42;R
26/12/2022;13;42;R
26/12/2022;14;40;R
26/12/2022;15;41;R
26/12/2022;16;41;R
26/12/2022;17;38;R
26/12/2022;18;37;R
26/12/2022;19;40;R
26/12/2022;20;41;R
26/12/2022;21;40;R
26/12/2022;22;41;R
26/12/2022;23;40;R
26/12/2022;24;40;R
27/12/2022;1;39;R
27/12/2022;2;39;R
27/12/2022;3;39;R
27/12/2022;4;37;R
27/12/2022;5;37;R
27/12/2022;6;39;R
27/12/2022;7;39;R
27/12/2022;8;39;R
27/12/2022;9;40;R
27/12/2022;10;38;R
27/12/2022;11;40;R
27/12/2022;12;39;R
27/12/2022;13;39;R
27/12/2022;14;39;R
27/12/2022;15;39;R
27/12/2022;16;38;R
27/12/2022;17;37;R
27/12/2022;18;37;R
27/12/2022;19;37;R
27/12/2022;20;38;R
27/12/2022;21;38;R
27/12/2022;22;40;R
27/12/2022;23;39;R
27/12/2022;24;39;R
28/12/2022;1;38;R
28/12/2022;2;39;R
28/12/2022;3;38;R
28/12/2022;4;38;R
28/12/2022;5;39;R
28/12/2022;6;36;R
28/12/2022;7;37;R
28/12/2022;8;38;R
28/12/2022;9;39;R
28/12/2022;10;39;R
28/12/2022;11;40;R
28/12/2022;12;39;R
28/12/2022;13;39;R
28/12/2022;14;40;R
28/12/2022;15;40;R
28/12/2022;16;41;R
28/12/2022;17;38;R
28/12/2022;18;38;R
28/12/2022;19;38;R
28/12/2022;20;40;R
28/12/2022;21;41;R
28/12/2022;22;40;R
28/12/2022;23;40;R
28/12/2022;24;39;R
29/12/2022;1;40;R
29/12/2022;2;39;R
29/12/2022;3;39;R
29/12/2022;4;37;R
29/12/2022;5;37;R
29/12/2022;6;39;R
29/12/2022;7;40;R
29/12/2022;8;40;R
29/12/2022;9;39;R
29/12/2022;10;39;R
29/12/2022;11;39;R
29/12/2022;12;39;R
29/12/2022;13;39;R
29/12/2022;14;39;R
29/12/2022;15;37;R
29/12/2022;16;50;R
29/12/2022;17;99;R
29/12/2022;18;54;R
29/12/2022;19;39;R
29/12/2022;20;160;R
29/12/2022;21;226;R
29/12/2022;22;217;R
29/12/2022;23;150;R
29/12/2022;24;89;R
30/12/2022;1;49;R
30/12/2022;2;47;R
30/12/2022;3;47;R
30/12/2022;4;47;R
30/12/2022;5;48;R
30/12/2022;6;45;R
30/12/2022;7;42;R
30/12/2022;8;71;R
30/12/2022;9;107;R
30/12/2022;10;251;R
30/12/2022;11;361;R
30/12/2022;12;472;R
30/12/2022;13;192;R
30/12/2022;14;889;R
30/12/2022;15;365;R
30/12/2022;16;217;R
30/12/2022;17;704;R
30/12/2022;18;215;R
30/12/2022;19;281;R
30/12/2022;20;57;R
30/12/2022;21;190;R
30/12/2022;22;202;R
30/12/2022;23;216;R
30/12/2022;24;191;R
31/12/2022;1;172;R
31/12/2022;2;104;R
31/12/2022;3;112;R
31/12/2022;4;100;R
31/12/2022;5;100;R
31/12/2022;6;102;R
31/12/2022;7;98;R
31/12/2022;8;94;R
31/12/2022;9;94;R
31/12/2022;10;628;R
31/12/2022;11;1184;R
31/12/2022;12;2098;R
31/12/2022;13;546;R
31/12/2022;14;668;R
31/12/2022;15;522;R
31/12/2022;16;374;R
31/12/2022;17;312;R
31/12/2022;18;472;R
31/12/2022;19;406;R
31/12/2022;20;392;R
31/12/2022;21;210;R
31/12/2022;22;130;R
31/12/2022;23;134;R
31/12/2022;24;130;R
01/01/2023;1;63;R
01/01/2023;2;62;R
01/01/2023;3;65;R
01/01/2023;4;119;R
01/01/2023;5;83;R
01/01/2023;6;68;R
01/01/2023;7;67;R
01/01/2023;8;68;R
01/01/2023;9;65;R
01/01/2023;10;65;R
01/01/2023;11;64;R
01/01/2023;12;62;R
01/01/2023;13;63;R
01/01/2023;14;66;R
01/01/2023;15;856;R
01/01/2023;16;269;R
01/01/2023;17;1024;R
01/01/2023;18;722;R
01/01/2023;19;663;R
01/01/2023;20;59;R
01/01/2023;21;56;R
01/01/2023;22;50;R
01/01/2023;23;46;R
01/01/2023;24;48;R
02/01/2023;1;46;R
02/01/2023;2;41;R
02/01/2023;3;41;R
02/01/2023;4;41;R
02/01/2023;5;41;R
02/01/2023;6;40;R
02/01/2023;7;37;R
02/01/2023;8;40;R
02/01/2023;9;40;R
02/01/2023;10;39;R
02/01/2023;11;38;R
02/01/2023;12;38;R
02/01/2023;13;38;R
02/01/2023;14;34;R
02/01/2023;15;35;R
02/01/2023;16;37;R
02/01/2023;17;38;R
02/01/2023;18;37;R
02/01/2023;19;37;R
02/01/2023;20;36;R
02/01/2023;21;36;R
02/01/2023;22;37;R
02/01/2023;23;34;R
02/01/2023;24;34;R
03/01/2023;1;34;R
03/01/2023;2;35;R
03/01/2023;3;36;R
03/01/2023;4;35;R
03/01/2023;5;36;R
03/01/2023;6;35;R
03/01/2023;7;34;R
03/01/2023;8;35;R
03/01/2023;9;36;R
03/01/2023;10;34;R
03/01/2023;11;35;R
03/01/2023;12;33;R
03/01/2023;13;33;R
03/01/2023;14;32;R
03/01/2023;15;34;R
03/01/2023;16;33;R
03/01/2023;17;33;R
03/01/2023;18;79;R
03/01/2023;19;71;R
03/01/2023;20;35;R
03/01/2023;21;35;R
03/01/2023;22;33;R
03/01/2023;23;33;R
03/01/2023;24;34;R
04/01/2023;1;34;R
04/01/2023;2;35;R
04/01/2023;3;34;R
04/01/2023;4;34;R
04/01/2023;5;33;R
04/01/2023;6;34;R
04/01/2023;7;33;R
04/01/2023;8;34;R
04/01/2023;9;33;R
04/01/2023;10;33;R
04/01/2023;11;33;R
04/01/2023;12;33;R
04/01/2023;13;33;R
04/01/2023;14;33;R
04/01/2023;15;33;R
04/01/2023;16;32;R
04/01/2023;17;33;R
04/01/2023;18;33;R
04/01/2023;19;32;R
04/01/2023;20;33;R
04/01/2023;21;32;R
04/01/2023;22;33;R
04/01/2023;23;32;R
04/01/2023;24;32;R
05/01/2023;1;32;R
05/01/2023;2;32;R
05/01/2023;3;32;R
05/01/2023;4;33;R
05/01/2023;5;31;R
05/01/2023;6;32;R
05/01/2023;7;32;R
05/01/2023;8;32;R
05/01/2023;9;32;R
05/01/2023;10;31;R
05/01/2023;11;31;R
05/01/2023;12;32;R
05/01/2023;13;32;R
05/01/2023;14;31;R
05/01/2023;15;32;R
05/01/2023;16;32;R
05/01/2023;17;32;R
05/01/2023;18;32;R
05/01/2023;19;31;R
05/01/2023;20;32;R
05/01/2023;21;32;R
05/01/2023;22;31;R
05/01/2023;23;32;R
05/01/2023;24;31;R
06/01/2023;1;31;R
06/01/2023;2;31;R
06/01/2023;3;31;R
06/01/2023;4;31;R
06/01/2023;5;31;R
06/01/2023;6;32;R
06/01/2023;7;31;R
06/01/2023;8;33;R
06/01/2023;9;31;R
06/01/2023;10;32;R
06/01/2023;11;32;R
06/01/2023;12;32;R
06/01/2023;13;33;R
06/01/2023;14;32;R
06/01/2023;15;32;R
06/01/2023;16;32;R
06/01/2023;17;31;R
06/01/2023;18;30;R
06/01/2023;19;32;R
06/01/2023;20;31;R
06/01/2023;21;31;R
06/01/2023;22;31;R
06/01/2023;23;30;R
06/01/2023;24;31;R
07/01/2023;1;30;R
07/01/2023;2;31;R
07/01/2023;3;30;R
07/01/2023;4;31;R
07/01/2023;5;32;R
07/01/2023;6;32;R
07/01/2023;7;32;R
07/01/2023;8;33;R
07/01/2023;9;32;R
07/01/2023;10;32;R
07/01/2023;11;33;R
07/01/2023;12;32;R
07/01/2023;13;32;R
07/01/2023;14;31;R
07/01/2023;15;32;R
07/01/2023;16;32;R
07/01/2023;17;31;R
07/01/2023;18;32;R
07/01/2023;19;32;R
07/01/2023;20;32;R
07/01/2023;21;31;R
07/01/2023;22;32;R
07/01/2023;23;31;R
07/01/2023;24;33;R
08/01/2023;1;31;R
08/01/2023;2;32;R
08/01/2023;3;32;R
08/01/2023;4;32;R
08/01/2023;5;31;R
08/01/2023;6;32;R
08/01/2023;7;32;R
08/01/2023;8;32;R
08/01/2023;9;86;R
08/01/2023;10;54;R
08/01/2023;11;34;R
08/01/2023;12;34;R
08/01/2023;13;33;R
08/01/2023;14;33;R
08/01/2023;15;33;R
08/01/2023;16;33;R
08/01/2023;17;33;R
08/01/2023;18;33;R
08/01/2023;19;33;R
08/01/2023;20;33;R
08/01/2023;21;33;R
08/01/2023;22;33;R
08/01/2023;23;34;R
08/01/2023;24;33;R
09/01/2023;1;33;R
09/01/2023;2;33;R
09/01/2023;3;33;R
09/01/2023;4;34;R
09/01/2023;5;33;R
09/01/2023;6;33;R
09/01/2023;7;33;R
09/01/2023;8;33;R
09/01/2023;9;34;R
09/01/2023;10;33;R
09/01/2023;11;33;R
09/01/2023;12;33;R
09/01/2023;13;33;R
09/01/2023;14;33;R
09/01/2023;15;33;R
09/01/2023;16;33;R
09/01/2023;17;34;R
09/01/2023;18;33;R
09/01/2023;19;33;R
09/01/2023;20;33;R
09/01/2023;21;33;R
09/01/2023;22;34;R
09/01/2023;23;33;R
09/01/2023;24;33;R
10/01/2023;1;33;R
10/01/2023;2;33;R
10/01/2023;3;33;R
10/01/2023;4;33;R
10/01/2023;5;32;R
10/01/2023;6;33;R
10/01/2023;7;33;R
10/01/2023;8;34;R
10/01/2023;9;33;R
10/01/2023;10;33;R
10/01/2023;11;33;R
10/01/2023;12;33;R
10/01/2023;13;33;R
10/01/2023;14;34;R
10/01/2023;15;33;R
10/01/2023;16;34;R
10/01/2023;17;36;R
10/01/2023;18;35;R
10/01/2023;19;35;R
10/01/2023;20;34;R
10/01/2023;21;35;R
10/01/2023;22;98;R
10/01/2023;23;112;R
10/01/2023;24;74;R
11/01/2023;1;48;R
11/01/2023;2;42;R
11/01/2023;3;40;R
11/01/2023;4;43;R
11/01/2023;5;46;R
11/01/2023;6;43;R
11/01/2023;7;43;R
11/01/2023;8;87;R
11/01/2023;9;769;R
11/01/2023;10;290;R
11/01/2023;11;249;R
11/01/2023;12;743;R
11/01/2023;13;728;R
11/01/2023;14;1495;R
11/01/2023;15;720;R
11/01/2023;16;218;R
11/01/2023;17;629;R
11/01/2023;18;262;R
11/01/2023;19;320;R
11/01/2023;20;197;R
11/01/2023;21;346;R
11/01/2023;22;297;R
11/01/2023;23;108;R
11/01/2023;24;66;R
12/01/2023;1;54;R
12/01/2023;2;48;R
12/01/2023;3;48;R
12/01/2023;4;50;R
12/01/2023;5;48;R
12/01/2023;6;47;R
12/01/2023;7;44;R
12/01/2023;8;72;R
12/01/2023;9;229;R
12/01/2023;10;136;R
12/01/2023;11;54;R
12/01/2023;12;55;R
12/01/2023;13;54;R
12/01/2023;14;52;R
12/01/2023;15;461;R
12/01/2023;16;263;R
12/01/2023;17;213;R
12/01/2023;18;167;R
12/01/2023;19;182;R
12/01/2023;20;210;R
12/01/2023;21;144;R
12/01/2023;22;164;R
12/01/2023;23;156;R
12/01/2023;24;118;R
13/01/2023;1;65;R
13/01/2023;2;51;R
13/01/2023;3;46;R
13/01/2023;4;46;R
13/01/2023;5;48;R
13/01/2023;6;47;R
13/01/2023;7;45;R
13/01/2023;8;45;R
13/01/2023;9;105;R
13/01/2023;10;307;R
13/01/2023;11;185;R
13/01/2023;12;151;R
13/01/2023;13;650;R
13/01/2023;14;671;R
13/01/2023;15;198;R
13/01/2023;16;84;R
13/01/2023;17;94;R
13/01/2023;18;125;R
13/01/2023;19;153;R
13/01/2023;20;140;R
13/01/2023;21;121;R
13/01/2023;22;397;R
13/01/2023;23;282;R
13/01/2023;24;148;R
14/01/2023;1;74;R
14/01/2023;2;52;R
14/01/2023;3;54;R
14/01/2023;4;55;R
14/01/2023;5;57;R
14/01/2023;6;54;R
14/01/2023;7;53;R
14/01/2023;8;74;R
14/01/2023;9;431;R
14/01/2023;10;107;R
14/01/2023;11;93;R
14/01/2023;12;59;R
14/01/2023;13;67;R
14/01/2023;14;741;R
14/01/2023;15;628;R
14/01/2023;16;382;R
14/01/2023;17;304;R
14/01/2023;18;288;R
14/01/2023;19;152;R
14/01/2023;20;142;R
14/01/2023;21;341;R
14/01/2023;22;759;R
14/01/2023;23;376;R
14/01/2023;24;154;R
15/01/2023;1;86;R
15/01/2023;2;61;R
15/01/2023;3;58;R
15/01/2023;4;52;R
15/01/2023;5;52;R
15/01/2023;6;51;R
15/01/2023;7;50;R
15/01/2023;8;51;R
15/01/2023;9;66;R
15/01/2023;10;132;R
15/01/2023;11;279;R
15/01/2023;12;91;R
15/01/2023;13;167;R
15/01/2023;14;334;R
15/01/2023;15;293;R
15/01/2023;16;237;R
15/01/2023;17;107;R
15/01/2023;18;47;R
15/01/2023;19;86;R
15/01/2023;20;154;R
15/01/2023;21;251;R
15/01/2023;22;341;R
15/01/2023;23;218;R
15/01/2023;24;103;R
16/01/2023;1;54;R
16/01/2023;2;46;R
16/01/2023;3;45;R
16/01/2023;4;49;R
16/01/2023;5;50;R
16/01/2023;6;48;R
16/01/2023;7;48;R
16/01/2023;8;174;R
16/01/2023;9;129;R
16/01/2023;10;45;R
16/01/2023;11;43;R
16/01/2023;12;62;R
16/01/2023;13;75;R
16/01/2023;14;85;R
16/01/2023;15;464;R
16/01/2023;16;267;R
16/01/2023;17;208;R
16/01/2023;18;178;R
16/01/2023;19;187;R
16/01/2023;20;202;R
16/01/2023;21;95;R
16/01/2023;22;155;R
16/01/2023;23;122;R
16/01/2023;24;93;R
17/01/2023;1;57;R
17/01/2023;2;52;R
17/01/2023;3;51;R
17/01/2023;4;51;R
17/01/2023;5;50;R
17/01/2023;6;51;R
17/01/2023;7;52;R
17/01/2023;8;108;R
17/01/2023;9;169;R
17/01/2023;10;48;R
17/01/2023;11;45;R
17/01/2023;12;47;R
17/01/2023;13;50;R
17/01/2023;14;50;R
17/01/2023;15;373;R
17/01/2023;16;175;R
17/01/2023;17;66;R
17/01/2023;18;53;R
17/01/2023;19;48;R
17/01/2023;20;73;R
17/01/2023;21;262;R
17/01/2023;22;466;R
17/01/2023;23;126;R
17/01/2023;24;84;R
18/01/2023;1;55;R
18/01/2023;2;50;R
18/01/2023;3;52;R
18/01/2023;4;49;R
18/01/2023;5;52;R
18/01/2023;6;49;R
18/01/2023;7;46;R
18/01/2023;8;198;R
18/01/2023;9;119;R
18/01/2023;10;47;R
18/01/2023;11;46;R
18/01/2023;12;61;R
18/01/2023;13;55;R
18/01/2023;14;47;R
18/01/2023;15;445;R
18/01/2023;16;242;R
18/01/2023;17;546;R
18/01/2023;18;350;R
18/01/2023;19;189;R
18/01/2023;20;418;R
18/01/2023;21;373;R
18/01/2023;22;527;R
18/01/2023;23;314;R
18/01/2023;24;284;R
19/01/2023;1;226;R
19/01/2023;2;225;R
19/01/2023;3;222;R
19/01/2023;4;218;R
19/01/2023;5;218;R
19/01/2023;6;221;R
19/01/2023;7;222;R
19/01/2023;8;225;R
19/01/2023;9;314;R
19/01/2023;10;117;R
19/01/2023;11;106;R
19/01/2023;12;153;R
19/01/2023;13;151;R
19/01/2023;14;460;R
19/01/2023;15;149;R
19/01/2023;16;76;R
19/01/2023;17;61;R
19/01/2023;18;48;R
19/01/2023;19;53;R
19/01/2023;20;49;R
19/01/2023;21;44;R
19/01/2023;22;47;R
19/01/2023;23;47;R
19/01/2023;24;46;R
20/01/2023;1;46;R
20/01/2023;2;50;R
20/01/2023;3;103;R
20/01/2023;4;56;R
20/01/2023;5;44;R
20/01/2023;6;44;R
20/01/2023;7;44;R
20/01/2023;8;43;R
20/01/2023;9;45;R
20/01/2023;10;44;R
20/01/2023;11;43;R
20/01/2023;12;60;R
20/01/2023;13;50;R
20/01/2023;14;43;R
20/01/2023;15;44;R
20/01/2023;16;43;R
20/01/2023;17;43;R
20/01/2023;18;45;R
20/01/2023;19;43;R
20/01/2023;20;44;R
20/01/2023;21;43;R
20/01/2023;22;43;R
20/01/2023;23;43;R
20/01/2023;24;44;R
21/01/2023;1;45;R
21/01/2023;2;44;R
21/01/2023;3;44;R
21/01/2023;4;45;R
21/01/2023;5;44;R
21/01/2023;6;44;R
21/01/2023;7;44;R
21/01/2023;8;44;R
21/01/2023;9;44;R
21/01/2023;10;44;R
21/01/2023;11;45;R
21/01/2023;12;44;R
21/01/2023;13;42;R
21/01/2023;14;43;R
21/01/2023;15;43;R
