#{"t_start": 1710201126.565544, "env_id": "microgrid-v0"}
r,l,t
40.211058,1024,55.482866
56.785695,1024,55.717479
55.333872,1024,55.951831
32.316598,1024,56.183707
31.684162,1024,56.417397
47.643708,1024,56.651232
52.858705,1024,56.873737
53.217757,1024,57.096917
42.439474,1024,57.32604
36.177127,1024,57.569571
25.1312,1024,57.791729
50.693117,1024,58.017978
39.419325,1024,58.239689
56.472782,1024,58.461203
48.343549,1024,58.693556
47.21669,1024,58.940817
44.939642,1024,59.162697
45.437536,1024,59.391858
47.117979,1024,59.622823
36.320205,1024,59.846658
25.155145,1024,60.071688
34.653508,1024,60.295121
36.007315,1024,60.516784
36.284928,1024,60.742301
39.655951,1024,60.963799
24.749175,1024,61.185239
37.504645,1024,61.41005
23.851248,1024,61.631379
37.348856,1024,61.853622
19.359821,1024,62.080328
51.484799,1024,62.30173
42.234391,1024,62.52389
40.152214,1024,62.747766
35.725237,1024,62.9698
46.469053,1024,63.19097
37.657354,1024,63.415841
41.368034,1024,63.6398
36.858577,1024,63.862957
45.221603,1024,64.086481
36.655301,1024,64.30963
40.206717,1024,64.534367
53.803542,1024,64.76016
36.654744,1024,64.982784
40.786546,1024,65.205979
37.444073,1024,65.431525
55.119122,1024,65.655639
35.165606,1024,65.878787
49.205742,1024,66.104209
21.143872,1024,66.327638
39.899686,1024,66.550498
37.350204,1024,66.780119
26.491682,1024,67.002348
29.297439,1024,67.228061
40.171877,1024,67.455834
37.94668,1024,67.679782
48.976894,1024,67.904257
34.301374,1024,68.130024
25.648273,1024,68.352833
45.476917,1024,68.574498
33.060495,1024,68.806645
30.983144,1024,69.028074
35.12954,1024,69.249372
43.08745,1024,69.483307
49.517046,1024,69.719905
19.767164,1024,69.954468
48.182284,1024,70.189797
24.372433,1024,70.413595
48.392309,1024,70.635515
23.610343,1024,70.864805
40.264093,1024,71.086115
50.967965,1024,71.310519
37.995078,1024,71.534436
42.258879,1024,71.7551
40.282805,1024,71.97904
47.260729,1024,72.202471
36.840607,1024,72.425044
44.365898,1024,72.649722
36.602446,1024,72.873864
32.077761,1024,73.093931
33.073232,1024,73.318337
37.141547,1024,73.540827
23.743638,1024,73.763319
52.928936,1024,73.985409
36.118861,1024,74.208586
36.590285,1024,74.431169
58.46037,1024,74.656136
33.476966,1024,74.878136
32.734909,1024,75.100047
40.001388,1024,75.326246
40.180579,1024,75.560663
46.525521,1024,75.787147
36.737678,1024,76.01369
36.134094,1024,76.246113
36.641007,1024,76.48095
31.210827,1024,76.718478
37.350753,1024,76.942471
21.862415,1024,77.166446
41.824811,1024,77.39104
51.111127,1024,77.61371
35.924459,1024,77.835987
43.033657,1024,78.071479
37.975782,1024,78.319659
48.476369,1024,78.549662
37.645139,1024,78.773631
36.65683,1024,78.996816
35.897961,1024,79.221508
33.619198,1024,79.448976
32.901054,1024,79.671303
36.712628,1024,79.892632
46.293932,1024,80.116705
35.444774,1024,80.3392
24.109377,1024,80.570713
19.603558,1024,80.806607
46.337774,1024,81.041131
49.010721,1024,81.275614
37.405065,1024,81.50534
26.707225,1024,81.728748
47.355262,1024,81.952433
45.79257,1024,82.176881
18.682386,1024,82.409218
38.256642,1024,82.634825
31.547178,1024,82.860838
35.025758,1024,83.085207
36.641796,1024,83.311131
44.448547,1024,83.540373
37.490319,1024,83.763141
42.096161,1024,83.985693
32.229992,1024,84.221278
46.514946,1024,84.450972
46.828728,1024,84.677966
40.617611,1024,84.900184
33.158879,1024,85.124264
40.290544,1024,85.349129
50.893119,1024,85.576885
33.516392,1024,85.79943
33.478955,1024,86.023654
37.260803,1024,86.247
42.841644,1024,86.470218
46.815584,1024,86.695626
36.347907,1024,86.918786
26.100408,1024,87.141972
37.320646,1024,87.368901
38.281142,1024,87.591473
44.676477,1024,87.815358
36.033796,1024,88.03995
39.794009,1024,88.270181
40.215791,1024,88.500979
33.184456,1024,88.728662
47.489965,1024,88.963111
40.99764,1024,89.197728
39.440834,1024,89.424821
31.019158,1024,89.651882
37.68144,1024,89.87501
46.683358,1024,90.10115
18.860783,1024,90.324571
41.749865,1024,90.548425
54.118056,1024,90.776716
47.681398,1024,90.998907
45.156581,1024,91.221966
23.754638,1024,91.449491
32.1012,1024,91.686015
39.486365,1024,91.916353
19.412108,1024,92.150533
34.960129,1024,92.382778
44.501464,1024,92.615384
41.831255,1024,92.850558
40.091685,1024,93.083981
47.60836,1024,93.317849
43.961644,1024,93.549981
52.475852,1024,93.774517
27.707952,1024,93.997027
47.953692,1024,94.22151
35.078527,1024,94.443545
45.970473,1024,94.668177
39.357436,1024,94.89345
44.028768,1024,95.117429
34.311593,1024,95.340563
28.271435,1024,95.567908
24.74593,1024,95.792699
47.71313,1024,96.020132
39.30321,1024,96.246975
19.316701,1024,96.469801
34.461281,1024,96.692882
48.258273,1024,96.918557
40.773921,1024,97.143513
40.050779,1024,97.368437
33.491388,1024,97.594437
44.640475,1024,97.81977
27.811898,1024,98.04187
17.283617,1024,98.268653
24.892912,1024,98.491589
24.092201,1024,98.71647
32.772009,1024,98.94192
39.609132,1024,99.166249
36.521639,1024,99.391658
37.621991,1024,99.618003
22.166101,1024,99.842524
47.558956,1024,100.068641
35.745974,1024,100.294119
27.588467,1024,100.516816
48.061549,1024,100.74196
30.46725,1024,100.967865
18.208659,1024,101.191959
27.276848,1024,101.420268
39.375166,1024,101.646567
18.530862,1024,101.871214
55.80543,1024,102.097138
42.132983,1024,102.322209
39.770338,1024,102.547541
32.51004,1024,102.769983
48.969613,1024,102.994286
31.568519,1024,103.218589
32.588216,1024,103.442905
38.00282,1024,103.670078
34.487275,1024,103.89449
45.601115,1024,104.123975
33.078203,1024,104.346296
39.32345,1024,104.570842
38.295833,1024,104.796407
44.962507,1024,105.020322
39.492739,1024,105.243535
45.409674,1024,105.46985
46.232742,1024,105.696493
43.204989,1024,105.921308
24.312171,1024,106.145925
42.583825,1024,106.369598
57.98433,1024,106.594373
38.395562,1024,106.819181
34.875517,1024,107.043821
33.300937,1024,107.26806
32.133081,1024,107.494371
35.991261,1024,107.723889
37.909912,1024,107.95243
56.750926,1024,108.182027
21.774286,1024,108.40528
51.706497,1024,108.632583
19.657601,1024,108.858397
35.303524,1024,109.082577
46.824545,1024,109.307518
41.081124,1024,109.541134
50.958972,1024,109.774442
46.260496,1024,109.998906
17.943666,1024,110.224648
41.130336,1024,110.450081
35.254294,1024,110.676427
38.60601,1024,110.905352
53.351154,1024,111.133008
47.007368,1024,111.363801
26.0651,1024,111.596887
30.59309,1024,111.82122
35.084989,1024,112.045398
17.747386,1024,112.276544
48.258524,1024,112.497825
49.721266,1024,112.722943
52.328762,1024,112.948214
34.055843,1024,113.172922
24.517739,1024,113.396533
51.87163,1024,113.620907
41.176188,1024,113.842641
43.050186,1024,114.067533
41.319157,1024,114.295894
46.580184,1024,114.52044
36.143797,1024,114.744296
24.907719,1024,114.97121
47.176814,1024,115.194601
38.627817,1024,115.41938
25.560622,1024,115.643653
56.606125,1024,115.868442
53.881396,1024,116.090848
48.958492,1024,116.326889
52.35185,1024,116.561095
18.15931,1024,116.794832
53.893254,1024,117.029841
23.679665,1024,117.252809
43.338136,1024,117.475739
33.566226,1024,117.700565
34.729065,1024,117.923295
16.650322,1024,118.146645
44.493103,1024,118.371323
35.602683,1024,118.593527
25.738265,1024,118.81732
38.285012,1024,119.045368
41.244472,1024,119.271358
38.828433,1024,119.49951
47.157922,1024,119.72539
37.449242,1024,119.951906
21.047215,1024,120.178022
35.764145,1024,120.404741
33.302744,1024,120.631211
46.507028,1024,120.856714
30.192535,1024,121.080485
25.014738,1024,121.302705
24.038407,1024,121.534084
32.787575,1024,121.75887
21.387338,1024,121.984014
23.423363,1024,122.210291
36.23441,1024,122.433614
31.437467,1024,122.657868
37.489778,1024,122.887283
43.361651,1024,123.118811
43.331342,1024,123.341044
36.940075,1024,123.571538
41.333267,1024,123.80194
45.160878,1024,124.029511
25.804675,1024,124.26053
53.473045,1024,124.491864
31.304665,1024,124.713967
19.387795,1024,124.938813
32.635884,1024,125.161955
25.048163,1024,125.38564
43.088116,1024,125.615353
21.804466,1024,125.839573
33.09188,1024,126.061703
39.886864,1024,126.290089
45.057378,1024,126.513089
48.110066,1024,126.737621
45.6343,1024,126.961585
35.741479,1024,127.187388
24.620127,1024,127.41117
22.400109,1024,127.63895
34.004883,1024,127.861524
49.417356,1024,128.086028
46.972575,1024,128.312517
30.395744,1024,128.536039
51.700864,1024,128.759275
41.277769,1024,128.999863
17.330133,1024,129.223009
51.620908,1024,129.446881
23.291774,1024,129.669514
21.509913,1024,129.892968
28.007307,1024,130.114963
51.675505,1024,130.340877
39.601608,1024,130.562297
53.902799,1024,130.787013
39.818003,1024,131.011163
38.868902,1024,131.235064
33.096005,1024,131.45813
49.248363,1024,131.689119
30.707881,1024,131.913919
36.70559,1024,132.137284
19.672313,1024,132.363571
37.975566,1024,132.588436
45.470052,1024,132.810881
33.193259,1024,133.03532
39.583435,1024,133.259704
32.99853,1024,133.483899
36.386988,1024,133.715521
34.858077,1024,133.940945
35.015744,1024,134.165008
53.811837,1024,134.393406
39.347114,1024,134.618381
49.247976,1024,134.843854
50.19141,1024,135.068956
29.522443,1024,135.292443
24.807513,1024,135.517137
36.501905,1024,135.742412
32.64635,1024,135.965275
37.364634,1024,136.190708
23.609583,1024,136.412562
23.342521,1024,136.636266
43.224488,1024,136.86365
46.079026,1024,137.088128
38.276654,1024,137.312009
35.821083,1024,137.536333
41.737642,1024,137.759572
40.628919,1024,137.982565
41.754292,1024,138.208034
26.062105,1024,138.42967
38.440932,1024,138.652613
