P (kW);Time
0.73472;2018-01-08 13:10:00
0.28139;2018-01-08 14:10:00
0.3373;2018-01-08 15:10:00
0.2696;2018-01-08 16:10:00
0.0;2018-01-08 17:10:00
0.0;2018-01-08 18:10:00
0.0;2018-01-08 19:10:00
0.0;2018-01-08 20:10:00
0.0;2018-01-08 21:10:00
0.0;2018-01-08 22:10:00
0.0;2018-01-08 23:10:00
0.0;2018-01-09 00:10:00
0.0;2018-01-09 01:10:00
0.0;2018-01-09 02:10:00
0.0;2018-01-09 03:10:00
0.0;2018-01-09 04:10:00
0.0;2018-01-09 05:10:00
0.0;2018-01-09 06:10:00
0.0;2018-01-09 07:10:00
0.037;2018-01-09 08:10:00
0.03523;2018-01-09 09:10:00
0.13277;2018-01-09 10:10:00
0.15027;2018-01-09 11:10:00
0.16396;2018-01-09 12:10:00
0.27361;2018-01-09 13:10:00
0.02859;2018-01-09 14:10:00
0.15563;2018-01-09 15:10:00
0.12397;2018-01-09 16:10:00
0.0;2018-01-09 17:10:00
0.0;2018-01-09 18:10:00
0.0;2018-01-09 19:10:00
0.0;2018-01-09 20:10:00
0.0;2018-01-09 21:10:00
0.0;2018-01-09 22:10:00
0.0;2018-01-09 23:10:00
0.0;2018-01-10 00:10:00
0.0;2018-01-10 01:10:00
0.0;2018-01-10 02:10:00
0.0;2018-01-10 03:10:00
0.0;2018-01-10 04:10:00
0.0;2018-01-10 05:10:00
0.0;2018-01-10 06:10:00
0.0;2018-01-10 07:10:00
0.030940000000000002;2018-01-10 08:10:00
0.05848;2018-01-10 09:10:00
0.06841;2018-01-10 10:10:00
0.06001;2018-01-10 11:10:00
0.213;2018-01-10 12:10:00
0.04336;2018-01-10 13:10:00
0.0711;2018-01-10 14:10:00
0.14094;2018-01-10 15:10:00
0.00158;2018-01-10 16:10:00
0.0;2018-01-10 17:10:00
0.0;2018-01-10 18:10:00
0.0;2018-01-10 19:10:00
0.0;2018-01-10 20:10:00
0.0;2018-01-10 21:10:00
0.0;2018-01-10 22:10:00
0.0;2018-01-10 23:10:00
0.0;2018-01-11 00:10:00
0.0;2018-01-11 01:10:00
0.0;2018-01-11 02:10:00
0.0;2018-01-11 03:10:00
0.0;2018-01-11 04:10:00
0.0;2018-01-11 05:10:00
0.0;2018-01-11 06:10:00
0.0;2018-01-11 07:10:00
0.17398;2018-01-11 08:10:00
0.41385;2018-01-11 09:10:00
0.65113;2018-01-11 10:10:00
0.7548400000000001;2018-01-11 11:10:00
0.77943;2018-01-11 12:10:00
0.77295;2018-01-11 13:10:00
0.65166;2018-01-11 14:10:00
0.52218;2018-01-11 15:10:00
0.28928;2018-01-11 16:10:00
0.0;2018-01-11 17:10:00
0.0;2018-01-11 18:10:00
0.0;2018-01-11 19:10:00
0.0;2018-01-11 20:10:00
0.0;2018-01-11 21:10:00
0.0;2018-01-11 22:10:00
0.0;2018-01-11 23:10:00
0.0;2018-01-12 00:10:00
0.0;2018-01-12 01:10:00
0.0;2018-01-12 02:10:00
0.0;2018-01-12 03:10:00
0.0;2018-01-12 04:10:00
0.0;2018-01-12 05:10:00
0.0;2018-01-12 06:10:00
0.0;2018-01-12 07:10:00
0.18384;2018-01-12 08:10:00
0.46782;2018-01-12 09:10:00
0.61814;2018-01-12 10:10:00
0.7405;2018-01-12 11:10:00
0.75886;2018-01-12 12:10:00
0.6878200000000001;2018-01-12 13:10:00
0.63486;2018-01-12 14:10:00
0.19213;2018-01-12 15:10:00
0.02215;2018-01-12 16:10:00
0.0;2018-01-12 17:10:00
0.0;2018-01-12 18:10:00
0.0;2018-01-12 19:10:00
0.0;2018-01-12 20:10:00
0.0;2018-01-12 21:10:00
0.0;2018-01-12 22:10:00
0.0;2018-01-12 23:10:00
0.0;2018-01-13 00:10:00
0.0;2018-01-13 01:10:00
0.0;2018-01-13 02:10:00
0.0;2018-01-13 03:10:00
0.0;2018-01-13 04:10:00
0.0;2018-01-13 05:10:00
0.0;2018-01-13 06:10:00
0.0;2018-01-13 07:10:00
0.08291;2018-01-13 08:10:00
0.45172;2018-01-13 09:10:00
0.49091;2018-01-13 10:10:00
0.1785;2018-01-13 11:10:00
0.0859;2018-01-13 12:10:00
0.23695;2018-01-13 13:10:00
0.01694;2018-01-13 14:10:00
0.03005;2018-01-13 15:10:00
0.00362;2018-01-13 16:10:00
0.0;2018-01-13 17:10:00
0.0;2018-01-13 18:10:00
0.0;2018-01-13 19:10:00
0.0;2018-01-13 20:10:00
0.0;2018-01-13 21:10:00
0.0;2018-01-13 22:10:00
0.0;2018-01-13 23:10:00
0.0;2018-01-14 00:10:00
0.0;2018-01-14 01:10:00
0.0;2018-01-14 02:10:00
0.0;2018-01-14 03:10:00
0.0;2018-01-14 04:10:00
0.0;2018-01-14 05:10:00
0.0;2018-01-14 06:10:00
0.0;2018-01-14 07:10:00
0.03582;2018-01-14 08:10:00
0.43088;2018-01-14 09:10:00
0.61368;2018-01-14 10:10:00
0.63287;2018-01-14 11:10:00
0.43438;2018-01-14 12:10:00
0.03566;2018-01-14 13:10:00
0.48354;2018-01-14 14:10:00
0.49809;2018-01-14 15:10:00
0.29256;2018-01-14 16:10:00
0.0;2018-01-14 17:10:00
0.0;2018-01-14 18:10:00
0.0;2018-01-14 19:10:00
0.0;2018-01-14 20:10:00
0.0;2018-01-14 21:10:00
0.0;2018-01-14 22:10:00
0.0;2018-01-14 23:10:00
0.0;2018-01-15 00:10:00
0.0;2018-01-15 01:10:00
0.0;2018-01-15 02:10:00
0.0;2018-01-15 03:10:00
