Time;Consumo (kWh);ID
2022-02-21 05:00:00;0,209;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 06:00:00;0,291;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 07:00:00;0,272;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 08:00:00;0,236;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 09:00:00;0,206;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 10:00:00;0,189;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 11:00:00;0,265;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 12:00:00;0,3;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 13:00:00;0,382;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 14:00:00;1,124;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 15:00:00;0,379;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 16:00:00;0,522;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 17:00:00;0,499;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 18:00:00;0,397;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 19:00:00;0,422;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 20:00:00;0,575;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 21:00:00;0,59;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 22:00:00;0,41;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-21 23:00:00;0,332;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 00:00:00;0,208;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 01:00:00;0,182;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 02:00:00;0,216;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 03:00:00;0,229;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 04:00:00;0,142;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 05:00:00;0,157;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 06:00:00;0,245;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 07:00:00;0,361;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 08:00:00;0,247;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 09:00:00;0,319;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 10:00:00;0,26;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 11:00:00;0,375;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 12:00:00;0,266;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 13:00:00;0,214;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 14:00:00;1,269;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 15:00:00;0,417;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 16:00:00;0,374;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 17:00:00;0,414;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 18:00:00;0,474;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 19:00:00;0,565;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 20:00:00;1,135;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 21:00:00;0,599;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-22 22:00:00;0,432;Casa1_18_02_2022-18_02_2023-R.csv
