time;P;G(i);H_sun;T2m;WS10m;Int
20180105:0610;0.0;0.0;0.0;6.75;3.1;0.0
20180105:0710;0.0;0.0;0.0;7.45;3.59;0.0
20180105:0810;34.69;55.69;4.35;7.23;3.79;0.0
20180105:0910;148.59;183.76;13.06;7.24;4.21;0.0
20180105:1010;256.02;302.16;20.11;7.63;4.97;0.0
20180105:1110;38.42;59.92;24.91;8.31;5.59;0.0
20180105:1210;42.92;65.45;26.92;8.72;5.72;0.0
20180105:1310;83.19;112.47;25.89;8.71;5.38;0.0
20180105:1410;45.23;68.22;21.94;8.63;4.97;0.0
20180105:1510;84.22;113.29;15.56;8.45;4.41;0.0
20180105:1610;233.29;287.97;7.33;8.03;3.38;0.0
20180105:1710;0.0;0.0;0.0;7.45;3.31;0.0
20180105:1810;0.0;0.0;0.0;7.26;3.24;0.0
20180105:1910;0.0;0.0;0.0;7.65;3.24;0.0
20180105:2010;0.0;0.0;0.0;7.56;3.03;0.0
20180105:2110;0.0;0.0;0.0;7.54;2.76;0.0
20180105:2210;0.0;0.0;0.0;7.44;2.34;0.0
20180105:2310;0.0;0.0;0.0;7.1;2.0;0.0
20180106:0010;0.0;0.0;0.0;7.01;1.66;0.0
20180106:0110;0.0;0.0;0.0;6.75;1.72;0.0
20180106:0210;0.0;0.0;0.0;6.08;2.14;0.0
20180106:0310;0.0;0.0;0.0;5.09;1.72;0.0
20180106:0410;0.0;0.0;0.0;4.38;1.24;0.0
20180106:0510;0.0;0.0;0.0;4.11;1.24;0.0
20180106:0610;0.0;0.0;0.0;3.94;1.31;0.0
20180106:0710;0.0;0.0;0.0;4.01;1.79;0.0
20180106:0810;11.35;24.78;4.37;3.86;1.86;0.0
20180106:0910;65.91;90.72;13.1;3.75;1.93;0.0
20180106:1010;65.33;90.34;20.17;3.84;2.28;0.0
20180106:1110;106.86;136.97;24.99;3.61;2.28;0.0
20180106:1210;132.74;165.49;27.03;3.68;2.83;0.0
20180106:1310;114.39;145.17;26.02;3.62;3.1;0.0
20180106:1410;65.46;90.34;22.09;3.68;3.31;0.0
20180106:1510;50.25;72.83;15.71;3.63;3.17;0.0
20180106:1610;18.39;34.11;7.48;3.41;3.38;0.0
20180106:1710;0.0;0.0;0.0;2.98;3.38;0.0
