time;P;G(i);H_sun;T2m;WS10m;Int
20180728:0410;0.0;0.0;0.0;19.04;1.31;0.0
20180728:0510;0.0;0.0;0.0;18.07;1.24;0.0
20180728:0610;22.44;51.95;10.19;18.06;0.9;0.0
20180728:0710;178.66;259.06;21.36;20.61;0.55;0.0
20180728:0810;372.09;489.27;32.75;23.2;0.48;0.0
20180728:0910;528.79;700.45;44.06;25.26;0.83;0.0
20180728:1010;651.96;876.05;54.76;27.18;1.72;0.0
20180728:1110;718.4;975.6;63.75;28.97;2.48;0.0
20180728:1210;752.0;1025.61;68.48;30.42;3.1;0.0
20180728:1310;729.07;990.08;66.16;31.49;3.52;0.0
20180728:1410;653.76;877.97;58.34;32.21;3.79;0.0
20180728:1510;543.25;721.77;48.07;32.59;3.93;0.0
20180728:1610;375.76;503.89;36.91;32.54;4.07;0.0
20180728:1710;178.55;273.53;25.51;32.04;4.07;0.0
20180728:1810;24.64;56.99;14.22;31.14;4.0;0.0
20180728:1910;4.91;16.46;3.35;29.77;3.52;0.0
20180728:2010;0.0;0.0;0.0;27.99;3.24;0.0
20180728:2110;0.0;0.0;0.0;26.52;2.9;0.0
20180728:2210;0.0;0.0;0.0;25.27;2.69;0.0
20180728:2310;0.0;0.0;0.0;24.21;2.55;0.0
20180729:0010;0.0;0.0;0.0;23.24;2.34;0.0
20180729:0110;0.0;0.0;0.0;22.35;2.14;0.0
20180729:0210;0.0;0.0;0.0;21.45;2.0;0.0
20180729:0310;0.0;0.0;0.0;20.55;1.86;0.0
20180729:0410;0.0;0.0;0.0;19.76;1.72;0.0
20180729:0510;0.0;0.0;0.0;19.09;1.72;0.0
20180729:0610;20.47;49.86;10.05;18.87;1.59;0.0
20180729:0710;179.86;259.74;21.22;20.87;2.14;0.0
20180729:0810;381.2;490.2;32.62;22.69;2.62;0.0
20180729:0910;557.58;717.94;43.92;24.54;2.83;0.0
20180729:1010;668.32;878.49;54.6;26.38;3.03;0.0
20180729:1110;731.45;978.08;63.55;28.12;3.31;0.0
20180729:1210;758.92;1023.79;68.25;29.67;3.66;0.0
20180729:1310;739.55;998.8;65.94;30.91;3.79;0.0
20180729:1410;654.44;876.35;58.16;31.75;3.86;0.0
20180729:1510;545.51;723.9;47.92;32.21;3.86;0.0
20180729:1610;377.24;505.7;36.77;32.25;3.86;0.0
20180729:1710;179.25;273.3;25.36;31.83;3.93;0.0
20180729:1810;18.44;49.21;14.08;30.95;4.0;0.0
20180729:1910;4.45;15.59;3.19;29.49;3.31;0.0
20180729:2010;0.0;0.0;0.0;27.73;3.1;0.0
20180729:2110;0.0;0.0;0.0;26.29;2.62;0.0
20180729:2210;0.0;0.0;0.0;25.06;2.21;0.0
20180729:2310;0.0;0.0;0.0;23.95;1.86;0.0
20180730:0010;0.0;0.0;0.0;22.85;1.72;0.0
20180730:0110;0.0;0.0;0.0;21.77;1.52;0.0
20180730:0210;0.0;0.0;0.0;20.48;1.38;0.0
20180730:0310;0.0;0.0;0.0;19.27;1.31;0.0
20180730:0410;0.0;0.0;0.0;18.32;1.38;0.0
20180730:0510;0.0;0.0;0.0;17.47;1.31;0.0
20180730:0610;22.02;51.05;9.9;17.36;1.03;0.0
20180730:0710;179.06;259.92;21.08;20.37;0.76;0.0
20180730:0810;373.63;491.99;32.48;23.66;0.55;0.0
20180730:0910;533.27;717.24;43.77;26.3;0.34;0.0
20180730:1010;646.34;888.57;54.44;28.39;0.9;0.0
20180730:1110;713.13;989.5;63.35;30.14;1.66;0.0
20180730:1210;742.53;1035.08;68.01;31.52;2.14;0.0
20180730:1310;728.42;1009.61;65.72;32.55;2.55;0.0
20180730:1410;648.99;885.51;57.98;33.23;2.9;0.0
20180730:1510;539.92;726.63;47.76;33.53;3.03;0.0
20180730:1610;374.03;506.81;36.62;33.48;3.1;0.0
20180730:1710;176.94;272.82;25.22;33.08;3.03;0.0
20180730:1810;25.27;57.41;13.92;32.32;3.03;0.0
20180730:1910;3.49;13.86;3.03;30.85;2.76;0.0
20180730:2010;0.0;0.0;0.0;28.97;2.69;0.0
20180730:2110;0.0;0.0;0.0;27.39;2.62;0.0
20180730:2210;0.0;0.0;0.0;26.1;2.34;0.0
20180730:2310;0.0;0.0;0.0;24.94;2.0;0.0
20180731:0010;0.0;0.0;0.0;23.82;1.72;0.0
20180731:0110;0.0;0.0;0.0;22.79;1.59;0.0
20180731:0210;0.0;0.0;0.0;21.53;1.45;0.0
20180731:0310;0.0;0.0;0.0;20.37;1.38;0.0
20180731:0410;0.0;0.0;0.0;19.43;1.31;0.0
20180731:0510;0.0;0.0;0.0;18.7;1.38;0.0
20180731:0610;22.18;50.87;9.75;18.57;1.24;0.0
20180731:0710;174.92;253.87;20.94;21.51;1.24;0.0
20180731:0810;366.95;480.92;32.34;24.64;1.38;0.0
20180731:0910;529.37;704.19;43.63;27.26;1.17;0.0
20180731:1010;630.7;872.88;54.27;29.26;0.69;0.0
20180731:1110;694.73;972.43;63.15;30.96;1.31;0.0
20180731:1210;724.61;1017.17;67.77;32.36;1.86;0.0
20180731:1310;703.38;981.74;65.5;33.41;2.21;0.0
20180731:1410;636.06;874.65;57.79;34.14;2.55;0.0
20180731:1510;526.27;714.0;47.6;34.48;2.62;0.0
20180731:1610;366.27;500.33;36.47;34.48;2.62;0.0
20180731:1710;173.52;269.34;25.06;34.15;2.55;0.0
20180731:1810;26.02;58.11;13.76;33.46;2.28;0.0
20180731:1910;3.45;13.86;2.86;32.2;1.52;0.0
20180731:2010;0.0;0.0;0.0;30.57;1.24;0.0
20180731:2110;0.0;0.0;0.0;28.96;1.72;0.0
20180731:2210;0.0;0.0;0.0;27.43;1.93;0.0
20180731:2310;0.0;0.0;0.0;26.09;1.86;0.0
20180801:0010;0.0;0.0;0.0;24.2;1.38;0.0
20180801:0110;0.0;0.0;0.0;22.73;1.31;0.0
20180801:0210;0.0;0.0;0.0;22.18;1.93;0.0
20180801:0310;0.0;0.0;0.0;21.77;2.34;0.0
20180801:0410;0.0;0.0;0.0;21.62;2.48;0.0
20180801:0510;0.0;0.0;0.0;21.3;2.48;0.0
20180801:0610;23.58;52.08;9.61;21.37;2.28;0.0
20180801:0710;171.13;248.74;20.8;23.27;1.79;0.0
20180801:0810;362.2;475.25;32.21;25.9;1.93;0.0
20180801:0910;527.67;701.42;43.48;28.19;1.52;0.0
20180801:1010;629.76;869.05;54.11;30.51;1.1;0.0
20180801:1110;673.54;962.91;62.94;32.58;0.69;0.0
20180801:1210;709.38;1013.35;67.52;34.27;1.45;0.0
20180801:1310;693.83;983.27;65.26;35.46;1.93;0.0
20180801:1410;622.19;870.89;57.59;36.15;2.0;0.0
20180801:1510;514.82;711.35;47.43;36.55;1.93;0.0
20180801:1610;356.89;495.69;36.31;36.61;1.86;0.0
20180801:1710;169.49;265.67;24.91;36.32;1.72;0.0
20180801:1810;27.97;60.46;13.6;35.66;1.45;0.0
20180801:1910;2.54;12.13;2.69;34.55;1.03;0.0
20180801:2010;0.0;0.0;0.0;32.98;0.69;0.0
20180801:2110;0.0;0.0;0.0;30.95;1.03;0.0
20180801:2210;0.0;0.0;0.0;28.83;1.66;0.0
20180801:2310;0.0;0.0;0.0;27.24;1.86;0.0
20180802:0010;0.0;0.0;0.0;25.21;1.59;0.0
20180802:0110;0.0;0.0;0.0;24.15;1.79;0.0
20180802:0210;0.0;0.0;0.0;23.96;2.14;0.0
20180802:0310;0.0;0.0;0.0;23.37;2.34;0.0
20180802:0410;0.0;0.0;0.0;22.87;2.34;0.0
20180802:0510;0.0;0.0;0.0;22.38;2.34;0.0
20180802:0610;26.73;54.84;9.46;22.49;2.14;0.0
20180802:0710;167.91;244.87;20.66;24.71;1.66;0.0
20180802:0810;355.6;469.71;32.07;27.52;2.07;0.0
20180802:0910;524.47;700.78;43.33;29.74;1.72;0.0
20180802:1010;628.37;868.37;53.94;32.0;1.45;0.0
20180802:1110;680.37;967.76;62.73;34.16;1.31;0.0
20180802:1210;701.61;1012.67;67.27;35.92;1.38;0.0
20180802:1310;676.75;976.28;65.02;37.18;1.45;0.0
20180802:1410;603.66;865.29;57.39;37.99;1.17;0.0
20180802:1510;493.95;699.32;47.25;38.42;0.9;0.0
20180802:1610;344.66;488.34;36.14;38.57;0.83;0.0
20180802:1710;166.95;262.57;24.74;38.41;0.83;0.0
20180802:1810;36.62;71.06;13.43;37.96;0.83;0.0
20180802:1910;1.7;10.39;2.51;36.93;1.03;0.0
20180802:2010;0.0;0.0;0.0;34.87;1.66;0.0
20180802:2110;0.0;0.0;0.0;32.81;1.93;0.0
20180802:2210;0.0;0.0;0.0;31.14;1.93;0.0
20180802:2310;0.0;0.0;0.0;29.44;1.59;0.0
20180803:0010;0.0;0.0;0.0;28.13;2.07;0.0
20180803:0110;0.0;0.0;0.0;27.42;2.41;0.0
20180803:0210;0.0;0.0;0.0;26.85;2.41;0.0
20180803:0310;0.0;0.0;0.0;26.18;2.34;0.0
20180803:0410;0.0;0.0;0.0;25.43;2.21;0.0
20180803:0510;0.0;0.0;0.0;24.67;2.0;0.0
20180803:0610;28.75;56.19;9.31;24.3;1.72;0.0
20180803:0710;158.56;232.01;20.52;26.27;1.03;0.0
20180803:0810;332.79;447.08;31.92;29.4;1.1;0.0
20180803:0910;492.18;672.3;43.18;32.0;0.83;0.0
20180803:1010;587.09;837.73;53.76;34.55;0.34;0.0
20180803:1110;643.19;939.03;62.52;36.6;0.55;0.0
20180803:1210;678.93;988.93;67.02;38.05;1.31;0.0
20180803:1310;658.41;943.06;64.78;39.23;2.21;0.0
20180803:1410;479.31;665.86;57.18;40.1;3.31;0.0
20180803:1510;487.0;668.33;47.07;39.71;4.14;0.0
20180803:1610;330.9;457.09;35.97;38.52;4.0;0.0
20180803:1710;162.29;248.08;24.57;37.94;2.83;0.0
20180803:1810;45.52;80.55;13.26;37.47;2.83;0.0
20180803:1910;0.98;8.66;2.32;35.83;2.55;0.0
20180803:2010;0.0;0.0;0.0;34.51;2.55;0.0
20180803:2110;0.0;0.0;0.0;33.18;2.41;0.0
20180803:2210;0.0;0.0;0.0;31.78;2.48;0.0
20180803:2310;0.0;0.0;0.0;30.22;2.76;0.0
20180804:0010;0.0;0.0;0.0;29.06;2.97;0.0
20180804:0110;0.0;0.0;0.0;28.04;2.97;0.0
20180804:0210;0.0;0.0;0.0;26.87;2.69;0.0
20180804:0310;0.0;0.0;0.0;25.82;2.34;0.0
20180804:0410;0.0;0.0;0.0;24.89;2.21;0.0
20180804:0510;0.0;0.0;0.0;24.05;2.21;0.0
20180804:0610;28.73;56.25;9.15;23.65;2.0;0.0
20180804:0710;164.17;238.56;20.38;25.37;1.72;0.0
20180804:0810;350.25;462.96;31.78;28.04;2.28;0.0
20180804:0910;519.34;691.94;43.03;30.39;2.21;0.0
20180804:1010;630.3;867.13;53.59;32.46;1.86;0.0
20180804:1110;683.62;966.38;62.3;34.27;1.66;0.0
20180804:1210;707.42;1017.14;66.76;35.88;1.59;0.0
20180804:1310;683.14;980.6;64.53;37.14;1.72;0.0
20180804:1410;624.21;883.58;56.97;38.03;2.0;0.0
20180804:1510;505.56;701.83;46.88;38.44;2.34;0.0
20180804:1610;343.63;478.42;35.79;38.41;2.62;0.0
20180804:1710;166.34;255.97;24.4;37.99;2.97;0.0
20180804:1810;40.02;74.16;13.08;37.21;3.17;0.0
20180804:1910;0.64;7.8;2.13;35.81;2.9;0.0
20180804:2010;0.0;0.0;0.0;33.84;2.9;0.0
20180804:2110;0.0;0.0;0.0;32.41;3.52;0.0
20180804:2210;0.0;0.0;0.0;31.14;3.93;0.0
20180804:2310;0.0;0.0;0.0;29.75;3.79;0.0
20180805:0010;0.0;0.0;0.0;28.51;3.45;0.0
20180805:0110;0.0;0.0;0.0;27.4;3.24;0.0
20180805:0210;0.0;0.0;0.0;26.42;3.17;0.0
20180805:0310;0.0;0.0;0.0;25.51;3.03;0.0
20180805:0410;0.0;0.0;0.0;24.75;2.9;0.0
20180805:0510;0.0;0.0;0.0;24.11;2.69;0.0
20180805:0610;24.17;51.81;9.0;23.88;2.55;0.0
20180805:0710;165.61;242.04;20.23;25.28;2.34;0.0
20180805:0810;353.21;464.96;31.64;27.72;2.62;0.0
20180805:0910;518.72;688.3;42.88;29.91;2.28;0.0
20180805:1010;627.68;859.1;53.41;31.73;1.86;0.0
20180805:1110;680.47;957.26;62.08;33.42;1.59;0.0
20180805:1210;698.51;1002.36;66.49;34.85;1.31;0.0
20180805:1310;664.8;960.53;64.27;35.92;0.97;0.0
20180805:1410;606.74;869.61;56.75;36.67;0.83;0.0
20180805:1510;492.42;694.11;46.69;37.09;0.69;0.0
20180805:1610;342.84;482.86;35.61;37.17;0.69;0.0
20180805:1710;164.55;257.81;24.22;36.97;0.9;0.0
20180805:1810;33.24;65.51;12.89;36.5;1.24;0.0
20180805:1910;0.0;0.0;0.0;35.5;1.66;0.0
20180805:2010;0.0;0.0;0.0;33.85;2.0;0.0
20180805:2110;0.0;0.0;0.0;32.1;2.14;0.0
20180805:2210;0.0;0.0;0.0;30.7;2.14;0.0
20180805:2310;0.0;0.0;0.0;29.36;2.28;0.0
20180806:0010;0.0;0.0;0.0;28.2;2.34;0.0
20180806:0110;0.0;0.0;0.0;27.19;2.28;0.0
20180806:0210;0.0;0.0;0.0;26.24;2.07;0.0
20180806:0310;0.0;0.0;0.0;25.24;1.93;0.0
20180806:0410;0.0;0.0;0.0;24.33;1.86;0.0
20180806:0510;0.0;0.0;0.0;23.44;1.72;0.0
20180806:0610;26.94;53.91;8.85;22.86;1.38;0.0
20180806:0710;162.81;237.38;20.08;24.94;0.97;0.0
20180806:0810;345.62;462.09;31.49;28.0;0.9;0.0
20180806:0910;499.17;683.05;42.72;30.45;0.34;0.0
20180806:1010;603.67;851.32;53.23;32.8;0.55;0.0
20180806:1110;663.36;949.07;61.86;34.85;1.1;0.0
20180806:1210;690.33;999.24;66.23;36.49;1.31;0.0
20180806:1310;606.73;869.95;64.01;37.71;1.31;0.0
20180806:1410;262.37;367.3;56.52;38.31;1.38;0.0
20180806:1510;396.46;552.83;46.49;38.65;1.52;0.0
20180806:1610;229.43;321.68;35.43;37.98;1.93;0.0
20180806:1710;17.28;36.87;24.04;35.45;3.03;0.0
20180806:1810;5.88;18.44;12.71;33.77;0.55;0.0
20180806:1910;0.0;0.0;0.0;32.95;1.38;0.0
20180806:2010;0.0;0.0;0.0;31.73;1.31;0.0
20180806:2110;0.0;0.0;0.0;31.41;0.41;0.0
20180806:2210;0.0;0.0;0.0;29.18;1.45;0.0
20180806:2310;0.0;0.0;0.0;27.94;1.86;0.0
20180807:0010;0.0;0.0;0.0;26.75;1.59;0.0
20180807:0110;0.0;0.0;0.0;25.81;1.52;0.0
20180807:0210;0.0;0.0;0.0;27.07;0.62;0.0
20180807:0310;0.0;0.0;0.0;26.25;0.55;0.0
20180807:0410;0.0;0.0;0.0;24.36;1.24;0.0
20180807:0510;0.0;0.0;0.0;22.69;1.38;0.0
20180807:0610;27.31;53.88;8.69;21.96;1.45;0.0
20180807:0710;161.67;233.77;19.94;24.06;0.83;0.0
20180807:0810;346.8;461.13;31.34;27.62;1.24;0.0
20180807:0910;514.52;685.51;42.57;30.14;2.07;0.0
20180807:1010;638.13;865.5;53.05;32.49;2.9;0.0
20180807:1110;711.17;975.32;61.63;34.64;3.93;0.0
20180807:1210;739.67;1014.62;65.95;36.04;5.03;0.0
20180807:1310;710.3;966.8;63.75;36.5;5.72;0.0
20180807:1410;646.41;870.85;56.29;36.84;6.21;0.0
20180807:1510;518.21;690.5;46.28;36.49;6.48;0.0
20180807:1610;351.3;474.1;35.23;35.69;6.14;0.0
20180807:1710;168.67;255.81;23.85;34.89;5.52;0.0
20180807:1810;35.6;67.02;12.51;33.71;4.83;0.0
20180807:1910;0.0;0.0;0.0;32.19;3.24;0.0
20180807:2010;0.0;0.0;0.0;30.13;2.28;0.0
20180807:2110;0.0;0.0;0.0;28.43;2.0;0.0
20180807:2210;0.0;0.0;0.0;26.72;1.86;0.0
20180807:2310;0.0;0.0;0.0;25.13;1.79;0.0
20180808:0010;0.0;0.0;0.0;23.57;1.52;0.0
20180808:0110;0.0;0.0;0.0;22.19;1.1;0.0
20180808:0210;0.0;0.0;0.0;21.58;0.9;0.0
20180808:0310;0.0;0.0;0.0;20.37;1.03;0.0
20180808:0410;0.0;0.0;0.0;19.29;1.24;0.0
20180808:0510;0.0;0.0;0.0;18.61;1.24;0.0
20180808:0610;25.58;51.69;8.53;18.46;1.1;0.0
20180808:0710;166.43;238.38;19.79;21.12;0.76;0.0
20180808:0810;352.8;463.36;31.2;24.32;0.83;0.0
20180808:0910;519.18;690.57;42.41;26.58;0.9;0.0
20180808:1010;638.23;865.16;52.86;28.71;1.59;0.0
20180808:1110;711.34;970.19;61.4;30.55;2.69;0.0
20180808:1210;747.57;1021.22;65.68;31.9;3.52;0.0
20180808:1310;721.2;978.81;63.48;32.8;4.07;0.0
20180808:1410;648.43;870.41;56.06;33.44;4.41;0.0
20180808:1510;522.88;693.68;46.07;33.61;4.69;0.0
20180808:1610;359.92;482.39;35.04;33.29;4.83;0.0
20180808:1710;169.84;255.38;23.65;32.44;4.76;0.0
20180808:1810;36.47;67.12;12.31;31.31;4.34;0.0
20180808:1910;0.0;0.0;0.0;29.57;3.45;0.0
20180808:2010;0.0;0.0;0.0;28.05;3.1;0.0
20180808:2110;0.0;0.0;0.0;26.88;2.9;0.0
20180808:2210;0.0;0.0;0.0;25.81;2.62;0.0
20180808:2310;0.0;0.0;0.0;24.81;2.34;0.0
20180809:0010;0.0;0.0;0.0;23.9;2.21;0.0
20180809:0110;0.0;0.0;0.0;22.9;1.93;0.0
20180809:0210;0.0;0.0;0.0;21.91;1.72;0.0
20180809:0310;0.0;0.0;0.0;21.02;1.72;0.0
20180809:0410;0.0;0.0;0.0;20.21;1.72;0.0
20180809:0510;0.0;0.0;0.0;19.5;1.72;0.0
20180809:0610;20.91;47.88;8.38;19.13;2.0;0.0
20180809:0710;176.61;252.87;19.64;20.09;2.14;0.0
20180809:0810;381.12;488.37;31.05;21.67;2.21;0.0
20180809:0910;553.11;715.88;42.25;23.52;1.86;0.0
20180809:1010;657.96;882.05;52.67;25.19;1.31;0.0
20180809:1110;727.73;1000.18;61.16;26.7;1.31;0.0
20180809:1210;736.41;1021.8;65.4;28.0;1.38;0.0
20180809:1310;713.02;985.06;63.2;28.81;1.52;0.0
20180809:1410;648.91;885.91;55.81;29.59;1.59;0.0
20180809:1510;535.09;720.89;45.86;30.14;1.45;0.0
20180809:1610;370.18;500.74;34.83;30.33;1.31;0.0
20180809:1710;171.34;261.33;23.45;29.88;1.31;0.0
20180809:1810;25.53;53.26;12.11;29.23;1.52;0.0
20180809:1910;0.0;0.0;0.0;27.82;2.62;0.0
20180809:2010;0.0;0.0;0.0;26.32;3.1;0.0
20180809:2110;0.0;0.0;0.0;24.42;4.69;0.0
20180809:2210;0.0;0.0;0.0;21.65;5.38;0.0
20180809:2310;0.0;0.0;0.0;20.0;4.97;0.0
20180810:0010;0.0;0.0;0.0;19.34;4.41;0.0
20180810:0110;0.0;0.0;0.0;18.87;4.34;0.0
20180810:0210;0.0;0.0;0.0;18.3;4.0;0.0
20180810:0310;0.0;0.0;0.0;17.8;3.59;0.0
20180810:0410;0.0;0.0;0.0;17.44;3.38;0.0
20180810:0510;0.0;0.0;0.0;17.18;3.24;0.0
20180810:0610;23.46;48.58;8.22;17.27;3.17;0.0
20180810:0710;117.64;161.63;19.49;18.05;4.07;0.0
20180810:0810;354.96;445.89;30.9;19.84;4.0;0.0
20180810:0910;549.45;691.42;42.08;21.64;3.52;0.0
20180810:1010;670.98;867.71;52.48;23.55;3.03;0.0
20180810:1110;731.72;978.9;60.92;25.58;2.28;0.0
20180810:1210;737.01;1012.25;65.11;27.59;1.66;0.0
20180810:1310;638.46;876.62;62.92;29.07;1.24;0.0
20180810:1410;511.03;694.87;55.57;30.29;0.97;0.0
20180810:1510;467.95;635.78;45.64;31.01;0.76;0.0
20180810:1610;340.14;465.35;34.63;31.2;0.48;0.0
20180810:1710;164.06;253.87;23.25;31.0;0.28;0.0
20180810:1810;28.62;56.58;11.9;30.55;0.55;0.0
20180810:1910;0.0;0.0;0.0;29.42;1.93;0.0
20180810:2010;0.0;0.0;0.0;28.15;2.14;0.0
20180810:2110;0.0;0.0;0.0;26.91;1.86;0.0
20180810:2210;0.0;0.0;0.0;25.87;1.45;0.0
20180810:2310;0.0;0.0;0.0;25.07;1.86;0.0
20180811:0010;0.0;0.0;0.0;24.48;2.83;0.0
20180811:0110;0.0;0.0;0.0;23.5;2.9;0.0
20180811:0210;0.0;0.0;0.0;22.52;2.48;0.0
20180811:0310;0.0;0.0;0.0;21.79;2.28;0.0
20180811:0410;0.0;0.0;0.0;21.23;2.21;0.0
20180811:0510;0.0;0.0;0.0;20.84;2.21;0.0
20180811:0610;25.43;49.29;8.06;20.81;2.14;0.0
20180811:0710;152.73;216.41;19.34;21.91;2.21;0.0
20180811:0810;338.81;438.21;30.74;23.38;1.93;0.0
20180811:0910;523.82;684.07;41.92;25.0;1.52;0.0
20180811:1010;629.18;848.28;52.29;26.94;1.24;0.0
20180811:1110;695.93;969.12;60.68;29.02;1.03;0.0
20180811:1210;718.77;1007.31;64.82;30.79;1.45;0.0
20180811:1310;599.17;821.76;62.63;32.13;1.93;0.0
20180811:1410;524.37;711.46;55.31;32.95;2.21;0.0
20180811:1510;491.67;662.71;45.41;33.32;2.41;0.0
20180811:1610;353.87;480.08;34.41;33.25;2.62;0.0
20180811:1710;162.66;248.66;23.04;32.92;2.62;0.0
20180811:1810;29.28;57.26;11.69;32.23;2.55;0.0
20180811:1910;0.0;0.0;0.0;31.0;1.72;0.0
20180811:2010;0.0;0.0;0.0;29.59;1.52;0.0
20180811:2110;0.0;0.0;0.0;28.39;1.52;0.0
20180811:2210;0.0;0.0;0.0;26.92;1.1;0.0
20180811:2310;0.0;0.0;0.0;26.93;0.62;0.0
20180812:0010;0.0;0.0;0.0;24.86;1.17;0.0
20180812:0110;0.0;0.0;0.0;23.55;1.59;0.0
20180812:0210;0.0;0.0;0.0;23.09;1.86;0.0
20180812:0310;0.0;0.0;0.0;22.31;1.79;0.0
20180812:0410;0.0;0.0;0.0;21.51;1.59;0.0
20180812:0510;0.0;0.0;0.0;20.95;1.66;0.0
20180812:0610;21.81;47.3;7.9;20.84;1.66;0.0
20180812:0710;156.33;224.06;19.19;22.7;1.52;0.0
20180812:0810;358.85;469.09;30.59;24.43;1.31;0.0
20180812:0910;519.38;689.43;41.75;26.6;0.97;0.0
20180812:1010;623.38;850.26;52.1;28.92;1.17;0.0
20180812:1110;700.06;971.2;60.44;31.19;1.79;0.0
20180812:1210;732.89;1009.37;64.53;32.79;3.1;0.0
20180812:1310;618.29;834.68;62.34;33.44;3.93;0.0
20180812:1410;627.76;843.88;55.06;33.89;4.28;0.0
20180812:1510;454.41;603.43;45.18;34.1;4.76;0.0
20180812:1610;335.94;450.47;34.2;33.21;4.69;0.0
20180812:1710;161.9;245.59;22.82;32.76;4.07;0.0
20180812:1810;17.01;40.9;11.47;32.3;3.45;0.0
20180812:1910;0.0;0.0;0.0;30.69;2.83;0.0
20180812:2010;0.0;0.0;0.0;29.09;2.69;0.0
20180812:2110;0.0;0.0;0.0;27.84;2.62;0.0
20180812:2210;0.0;0.0;0.0;26.99;2.34;0.0
20180812:2310;0.0;0.0;0.0;26.08;2.14;0.0
20180813:0010;0.0;0.0;0.0;25.16;2.14;0.0
20180813:0110;0.0;0.0;0.0;24.06;1.86;0.0
20180813:0210;0.0;0.0;0.0;22.87;1.59;0.0
20180813:0310;0.0;0.0;0.0;21.8;1.45;0.0
20180813:0410;0.0;0.0;0.0;21.09;1.38;0.0
20180813:0510;0.0;0.0;0.0;20.68;1.31;0.0
20180813:0610;19.07;45.04;7.74;20.12;1.17;0.0
20180813:0710;169.37;245.01;19.03;21.4;0.76;0.0
20180813:0810;372.04;486.66;30.44;23.61;0.9;0.0
20180813:0910;532.57;707.34;41.59;25.45;0.69;0.0
20180813:1010;646.37;872.29;51.9;27.29;1.45;0.0
20180813:1110;724.97;989.63;60.19;28.97;2.21;0.0
20180813:1210;749.24;1027.65;64.23;30.39;2.69;0.0
20180813:1310;716.5;977.73;62.04;31.51;3.03;0.0
20180813:1410;653.24;883.97;54.79;32.31;3.1;0.0
20180813:1510;526.92;704.63;44.94;32.78;3.1;0.0
20180813:1610;354.52;478.75;33.97;32.79;2.97;0.0
20180813:1710;163.34;250.45;22.61;32.43;2.69;0.0
20180813:1810;24.11;49.73;11.24;31.71;2.28;0.0
20180813:1910;0.0;0.0;0.0;30.45;1.72;0.0
20180813:2010;0.0;0.0;0.0;28.98;1.45;0.0
20180813:2110;0.0;0.0;0.0;27.41;1.45;0.0
20180813:2210;0.0;0.0;0.0;25.9;1.52;0.0
20180813:2310;0.0;0.0;0.0;24.63;1.72;0.0
20180814:0010;0.0;0.0;0.0;23.46;2.9;0.0
20180814:0110;0.0;0.0;0.0;22.24;3.66;0.0
20180814:0210;0.0;0.0;0.0;20.99;3.66;0.0
20180814:0310;0.0;0.0;0.0;20.16;3.31;0.0
20180814:0410;0.0;0.0;0.0;19.59;3.03;0.0
20180814:0510;0.0;0.0;0.0;19.12;2.83;0.0
20180814:0610;19.31;45.23;7.58;18.85;2.69;0.0
20180814:0710;174.22;247.87;18.88;20.08;3.1;0.0
20180814:0810;385.97;491.59;30.28;21.95;3.17;0.0
20180814:0910;554.62;710.36;41.42;24.23;3.1;0.0
20180814:1010;660.91;870.33;51.7;26.4;2.83;0.0
20180814:1110;727.52;986.65;59.94;28.31;2.41;0.0
20180814:1210;742.23;1031.89;63.93;29.83;1.79;0.0
20180814:1310;700.29;980.68;61.74;31.05;1.38;0.0
20180814:1410;639.14;891.37;54.52;31.94;1.1;0.0
20180814:1510;517.76;711.4;44.7;32.5;0.9;0.0
20180814:1610;360.14;495.92;33.75;32.67;0.76;0.0
20180814:1710;162.8;253.58;22.38;32.5;0.62;0.0
20180814:1810;24.94;50.39;11.02;32.0;0.62;0.0
20180814:1910;0.0;0.0;0.0;31.24;0.97;0.0
20180814:2010;0.0;0.0;0.0;29.95;1.52;0.0
20180814:2110;0.0;0.0;0.0;28.19;2.41;0.0
20180814:2210;0.0;0.0;0.0;26.63;3.03;0.0
20180814:2310;0.0;0.0;0.0;25.19;3.72;0.0
20180815:0010;0.0;0.0;0.0;23.71;3.79;0.0
20180815:0110;0.0;0.0;0.0;22.57;3.59;0.0
20180815:0210;0.0;0.0;0.0;21.62;3.38;0.0
20180815:0310;0.0;0.0;0.0;20.86;3.1;0.0
20180815:0410;0.0;0.0;0.0;20.29;2.97;0.0
20180815:0510;0.0;0.0;0.0;19.82;2.83;0.0
20180815:0610;18.91;44.29;7.42;19.65;2.62;0.0
20180815:0710;169.48;241.88;18.73;20.75;2.97;0.0
20180815:0810;379.21;484.91;30.12;22.66;3.03;0.0
20180815:0910;549.58;709.51;41.25;24.7;2.48;0.0
20180815:1010;651.48;869.78;51.49;26.81;1.93;0.0
20180815:1110;708.8;981.2;59.68;28.92;1.38;0.0
20180815:1210;723.4;1019.31;63.62;30.6;1.24;0.0
20180815:1310;701.37;981.08;61.43;31.73;1.59;0.0
20180815:1410;585.62;803.54;54.25;32.75;1.79;0.0
20180815:1510;516.1;700.92;44.45;33.06;1.79;0.0
20180815:1610;357.47;488.34;33.51;33.11;1.72;0.0
20180815:1710;160.62;250.37;22.15;32.8;1.66;0.0
20180815:1810;23.13;47.44;10.78;32.2;1.45;0.0
20180815:1910;0.0;0.0;0.0;31.48;1.24;0.0
20180815:2010;0.0;0.0;0.0;29.95;0.62;0.0
20180815:2110;0.0;0.0;0.0;28.32;1.59;0.0
