Fecha;Hora;Consumo (kWh);Metodo_obtencion
02/11/2022;19;0,252;R
02/11/2022;20;0,06;R
02/11/2022;21;0,056;R
02/11/2022;22;0,535;R
02/11/2022;23;0,18;R
02/11/2022;24;0,094;R
03/11/2022;1;0,062;R
03/11/2022;2;0,055;R
03/11/2022;3;0,056;R
03/11/2022;4;0,056;R
03/11/2022;5;0,059;R
03/11/2022;6;0,059;R
03/11/2022;7;0,06;R
03/11/2022;8;0,074;R
03/11/2022;9;0,265;R
03/11/2022;10;0,081;R
03/11/2022;11;0,084;R
03/11/2022;12;0,112;R
03/11/2022;13;0,509;R
03/11/2022;14;0,255;R
03/11/2022;15;0,059;R
03/11/2022;16;0,057;R
03/11/2022;17;0,055;R
03/11/2022;18;0,054;R
03/11/2022;19;0,055;R
03/11/2022;20;0,054;R
03/11/2022;21;0,055;R
03/11/2022;22;0,054;R
03/11/2022;23;0,052;R
03/11/2022;24;0,051;R
04/11/2022;1;0,054;R
04/11/2022;2;0,054;R
04/11/2022;3;0,054;R
04/11/2022;4;0,053;R
04/11/2022;5;0,053;R
04/11/2022;6;0,052;R
04/11/2022;7;0,052;R
04/11/2022;8;0,052;R
04/11/2022;9;0,054;R
04/11/2022;10;0,053;R
04/11/2022;11;0,053;R
04/11/2022;12;0,051;R
04/11/2022;13;0,049;R
04/11/2022;14;0,049;R
04/11/2022;15;0,047;R
04/11/2022;16;0,079;R
04/11/2022;17;0,092;R
04/11/2022;18;0,053;R
04/11/2022;19;0,05;R
04/11/2022;20;0,052;R
04/11/2022;21;0,051;R
04/11/2022;22;0,051;R
04/11/2022;23;0,051;R
04/11/2022;24;0,05;R
05/11/2022;1;0,049;R
05/11/2022;2;0,047;R
05/11/2022;3;0,049;R
05/11/2022;4;0,05;R
05/11/2022;5;0,05;R
05/11/2022;6;0,049;R
05/11/2022;7;0,048;R
05/11/2022;8;0,05;R
05/11/2022;9;0,049;R
05/11/2022;10;0,047;R
05/11/2022;11;0,047;R
05/11/2022;12;0,05;R
05/11/2022;13;0,048;R
05/11/2022;14;0,049;R
05/11/2022;15;0,049;R
05/11/2022;16;0,05;R
05/11/2022;17;0,05;R
05/11/2022;18;0,047;R
05/11/2022;19;0,049;R
05/11/2022;20;0,054;R
05/11/2022;21;0,053;R
05/11/2022;22;0,052;R
05/11/2022;23;0,095;R
05/11/2022;24;0,147;R
06/11/2022;1;0,114;R
06/11/2022;2;0,064;R
06/11/2022;3;0,054;R
06/11/2022;4;0,052;R
06/11/2022;5;0,051;R
06/11/2022;6;0,053;R
06/11/2022;7;0,051;R
06/11/2022;8;0,051;R
06/11/2022;9;0,05;R
06/11/2022;10;0,062;R
06/11/2022;11;0,458;R
06/11/2022;12;0,075;R
06/11/2022;13;0,539;R
06/11/2022;14;0,12;R
06/11/2022;15;0,179;R
06/11/2022;16;0,628;R
06/11/2022;17;0,317;R
06/11/2022;18;0,054;R
06/11/2022;19;0,113;R
06/11/2022;20;0,252;R
06/11/2022;21;0,167;R
06/11/2022;22;0,172;R
06/11/2022;23;0,12;R
06/11/2022;24;0,066;R
07/11/2022;1;0,056;R
07/11/2022;2;0,052;R
07/11/2022;3;0,053;R
07/11/2022;4;0,054;R
